Prénoms 2010;Nombre;Prénoms 2009;Nombre;Prénoms 2008;Nombre;Prénoms 2007;Nombre;Prénoms 2006;Nombre;Prénoms 2005;Nombre;Prénoms 2004;Nombre
Mathieu;53;Guillaume;48;Matthieu;48;Elise;45;Samy;47;Ulysse;45;Max;48
Yassine;53;Faustine;48;Suzanne;48;Ulysse;45;Alexandra;46;Yann;45;Anouk;48
Madeleine;53;Amaury;47;Yann;48;Stella;45;Jérémy;45;Ines;45;Solène;47
Stella;51;Aurélien;47;Anouk;47;Maëlys;45;Mattéo;45;Kevin;45;Sophie;47
Youssef;51;Samy;47;Eloïse;47;Titouan;45;Esteban;45;Titouan;45;Garance;47
Eden;50;Lucien;46;Ines;47;Fatoumata;45;Faustine;45;Basile;44;Titouan;46
Octave;50;Youssef;46;Maël;47;Samy;45;Marine;45;Amine;44;Antonin;46
Ibrahim;50;Esteban;46;Marion;47;Célia;44;Aya;44;Mariam;44;Samy;46
Eléonore;49;Ruben;45;Mélissa;47;Kevin;44;Marius;44;Olivia;43;Iris;46
Suzanne;49;Célia;45;Yacine;47;Alicia;44;Marion;44;Robin;43;Matteo;45
Hector;48;Mehdi;45;Isaac;46;Hadrien;43;Robin;44;Imane;43;Ulysse;45
Myriam;48;Marius;45;Mathias;45;Edouard;43;Eloïse;44;Mehdi;42;Mamadou;45
Solal;48;Ibrahim;45;Mehdi;45;Elie;43;Anouk;44;Ryan;42;Côme;45
Océane;48;Nolan;45;Milo;45;Achille;43;Lilou;44;Ilan;42;Maël;44
Anouk;47;Fatoumata;45;Ismaël;44;Ibrahim;42;Max;44;Apolline;42;Corentin;44
Ayoub;46;Mila;45;Lily;44;Eloïse;42;Léonard;43;Daniel;42;Alex;44
Romy;46;Chiara;45;Robin;44;Claire;42;Ibrahim;43;Sophie;41;Yacine;44
Isaac;46;Robin;44;Salma;44;Lenny;41;Clémentine;43;Constance;41;Etienne;43
Nolan;46;Marion;44;Garance;43;Luna;41;Constance;43;Côme;41;Eloïse;43
Faustine;46;Malo;44;Lorenzo;43;Lucien;41;Côme;43;Hippolyte;41;Sasha;43
Diego;46;Océane;44;Maëlle;43;Yassine;41;Claire;43;Dylan;41;Lucien;43
Abel;46;Ella;44;Océane;43;Max;41;Emile;43;Mamadou;40;Mariam;43
Marius;45;Daniel;44;Emile;42;Léonie;40;Eliot;43;Lucile;40;Marion;42
Sophie;45;Elie;44;Gabin;42;Isaac;40;Rafael;43;Aya;39;Stella;42
Marion;45;Mathéo;43;Hippolyte;42;Vincent;40;Ismaël;43;Jérémy;39;Candice;42
Yacine;45;Myriam;43;Emmanuel;41;Esteban;40;Mila;43;Loïc;39;Yassine;42
Thibault;45;Ilyes;43;Myriam;41;Yacine;40;Grégoire;42;Claire;39;Edouard;42
Lenny;44;Léon;43;Samy;41;Clémentine;39;Kylian;42;Corentin;39;Lise;42
Achille;44;Mamadou;43;Théodore;41;Suzanne;39;Elie;42;Solal;39;Ryan;41
Esther;44;Naël;43;Aya;40;Liam;39;Achille;42;Malo;39;Maya;41
Mathéo;43;Ali;42;Claire;40;Constance;39;Sophie;41;Céline;39;Ilan;41
Théodore;43;Lily;41;Esteban;40;Florian;39;Moussa;41;Samy;39;Lucile;41
Ines;42;Hippolyte;41;Hector;40;Paloma;39;Roxane;41;Clémentine;38;Maëlle;41
Blanche;42;Thibault;41;Ilyes;40;Roman;39;Antonin;41;Evan;38;Aminata;41
Lilia;42;Anis;40;Maïa;40;Madeleine;39;Yacine;41;Estelle;38;Anthony;41
Edouard;42;Gabin;40;Titouan;40;Marius;38;Mélissa;40;Rémi;38;Mélissa;41
Ali;42;Mathias;40;Ulysse;40;Mathys;38;Stanislas;40;Ismaël;38;Pablo;40
Daniel;42;Aïcha;40;Achille;39;Luca;38;Matteo;39;Hector;37;Hadrien;40
Mariam;42;Léonie;39;Chiara;39;Amandine;38;Basile;39;Mathéo;37;Lenny;40
Edgar;42;Isaac;39;Lilia;39;Léon;38;Eléonore;39;Moussa;37;Maëlys;40
Clémentine;41;Aminata;39;Lucien;39;Mattéo;38;Amandine;39;Sasha;37;Violette;40
Alexandra;41;Nora;39;Anatole;38;Erwan;38;Céline;39;Blanche;37;Dorian;39
Luna;41;Madeleine;39;Ayoub;38;Anouk;38;Anthony;39;Aminata;37;Amélie;39
Mélina;41;Romy;38;Léon;38;Milo;37;Daphné;39;Morgane;36;Léonard;39
Guillaume;41;Lilia;38;Max;38;Gabin;37;Emmanuel;39;Lucien;36;Luna;39
Léopold;41;Emile;38;Octave;38;Rémi;37;Olivia;38;Marc;36;Céline;39
